lead_id,date,channel,device
L100000,2025-09-03,LinkedIn Ads,Mobile
L100001,2025-09-23,CRM,Desktop
L100002,2025-09-19,Emailing,Desktop
L100003,2025-09-13,Instagram Ads,Mobile
L100004,2025-09-13,Emailing,Mobile
L100005,2025-09-25,LinkedIn Ads,Mobile
L100006,2025-09-03,Facebook Ads,Tablet
L100007,2025-09-21,LinkedIn Ads,Mobile
L100008,2025-09-06,LinkedIn Ads,Desktop
L100009,2025-09-03,LinkedIn Ads,Desktop
L100010,2025-09-16,Emailing,Mobile
L100011,2025-09-29,CRM,Mobile
L100012,2025-09-22,Facebook Ads,Tablet
L100013,2025-09-23,Emailing,Mobile
L100014,2025-09-21,Instagram Ads,Mobile
L100015,2025-09-23,Facebook Ads,Desktop
L100016,2025-09-15,LinkedIn Ads,Desktop
L100017,2025-09-04,LinkedIn Ads,Tablet
L100018,2025-09-25,Facebook Ads,Mobile
L100019,2025-09-14,CRM,Mobile
L100020,2025-09-15,Facebook Ads,Mobile
L100021,2025-09-11,Instagram Ads,Mobile
L100022,2025-09-06,Facebook Ads,Mobile
L100023,2025-09-27,CRM,Mobile
L100024,2025-09-23,Emailing,Mobile
L100025,2025-09-19,Emailing,Mobile
L100026,2025-09-12,Facebook Ads,Mobile
L100027,2025-09-24,CRM,Mobile
L100028,2025-09-16,CRM,Desktop
L100029,2025-09-13,LinkedIn Ads,Mobile
L100030,2025-09-14,CRM,Mobile
L100031,2025-09-07,CRM,Mobile
L100032,2025-09-03,Instagram Ads,Mobile
L100033,2025-09-17,Facebook Ads,Mobile
L100034,2025-09-26,LinkedIn Ads,Mobile
L100035,2025-09-02,LinkedIn Ads,Mobile
L100036,2025-09-25,Facebook Ads,Mobile
L100037,2025-09-25,Emailing,Mobile
L100038,2025-09-09,LinkedIn Ads,Mobile
L100039,2025-09-19,Facebook Ads,Mobile
L100040,2025-09-05,CRM,Desktop
L100041,2025-09-22,Facebook Ads,Desktop
L100042,2025-09-21,Emailing,Desktop
L100043,2025-09-11,LinkedIn Ads,Mobile
L100044,2025-09-02,Emailing,Desktop
L100045,2025-09-29,Emailing,Mobile
L100046,2025-09-13,Instagram Ads,Mobile
L100047,2025-09-26,CRM,Desktop
L100048,2025-09-20,Emailing,Mobile
L100049,2025-09-23,Facebook Ads,Mobile
L100050,2025-09-23,LinkedIn Ads,Desktop
L100051,2025-09-06,CRM,Desktop
L100052,2025-09-11,Instagram Ads,Tablet
L100053,2025-09-14,Emailing,Mobile
L100054,2025-09-15,Emailing,Mobile
L100055,2025-09-02,Facebook Ads,Desktop
L100056,2025-09-16,Emailing,Mobile
L100057,2025-09-05,LinkedIn Ads,Desktop
L100058,2025-09-22,Emailing,Mobile
L100059,2025-09-20,Instagram Ads,Mobile
L100060,2025-09-27,LinkedIn Ads,Mobile
L100061,2025-09-22,Instagram Ads,Desktop
L100062,2025-09-11,Emailing,Mobile
L100063,2025-09-29,LinkedIn Ads,Mobile
L100064,2025-09-12,LinkedIn Ads,Mobile
L100065,2025-09-10,LinkedIn Ads,Mobile
L100066,2025-09-27,Emailing,Mobile
L100067,2025-09-11,Emailing,Desktop
L100068,2025-09-03,CRM,Mobile
L100069,2025-09-14,Facebook Ads,Desktop
L100070,2025-09-24,Facebook Ads,Desktop
L100071,2025-09-06,Instagram Ads,Mobile
L100072,2025-09-14,LinkedIn Ads,Mobile
L100073,2025-09-04,CRM,Mobile
L100074,2025-09-20,Facebook Ads,Mobile
L100075,2025-09-14,CRM,Mobile
L100076,2025-09-10,Emailing,Tablet
L100077,2025-09-07,Instagram Ads,Tablet
L100078,2025-09-17,Instagram Ads,Desktop
L100079,2025-09-20,Emailing,Mobile
L100080,2025-09-28,Emailing,Desktop
L100081,2025-09-13,Facebook Ads,Desktop
L100082,2025-09-05,CRM,Mobile
L100083,2025-09-25,Instagram Ads,Desktop
L100084,2025-09-19,CRM,Mobile
L100085,2025-09-21,LinkedIn Ads,Mobile
L100086,2025-09-03,Facebook Ads,Mobile
L100087,2025-09-10,LinkedIn Ads,Mobile
L100088,2025-09-23,Emailing,Mobile
L100089,2025-09-25,Emailing,Desktop
L100090,2025-09-13,LinkedIn Ads,Tablet
L100091,2025-09-24,LinkedIn Ads,Mobile
L100092,2025-09-25,Facebook Ads,Desktop
L100093,2025-09-12,Instagram Ads,Tablet
L100094,2025-09-27,Instagram Ads,Mobile
L100095,2025-09-09,CRM,Mobile
L100096,2025-09-07,Instagram Ads,Mobile
L100097,2025-09-20,Facebook Ads,Mobile
L100098,2025-09-19,Facebook Ads,Desktop
L100099,2025-09-05,Facebook Ads,Mobile
L100100,2025-09-25,LinkedIn Ads,Mobile
L100101,2025-09-06,CRM,Mobile
L100102,2025-09-24,Facebook Ads,Mobile
L100103,2025-09-01,Facebook Ads,Desktop
L100104,2025-09-24,Facebook Ads,Mobile
L100105,2025-09-23,LinkedIn Ads,Mobile
L100106,2025-09-23,LinkedIn Ads,Mobile
L100107,2025-09-20,Emailing,Mobile
L100108,2025-09-14,Emailing,Mobile
L100109,2025-09-21,Instagram Ads,Mobile
L100110,2025-09-09,Emailing,Mobile
L100111,2025-09-23,LinkedIn Ads,Mobile
L100112,2025-09-17,Facebook Ads,Desktop
L100113,2025-09-14,Emailing,Desktop
L100114,2025-09-15,CRM,Desktop
L100115,2025-09-17,Emailing,Desktop
L100116,2025-09-02,Facebook Ads,Desktop
L100117,2025-09-05,Emailing,Mobile
L100118,2025-09-08,Emailing,Mobile
L100119,2025-09-04,Emailing,Mobile
L100120,2025-09-13,Emailing,Mobile
L100121,2025-09-20,Emailing,Desktop
L100122,2025-09-19,Emailing,Mobile
L100123,2025-09-14,Instagram Ads,Desktop
L100124,2025-09-25,LinkedIn Ads,Desktop
L100125,2025-09-17,Facebook Ads,Mobile
L100126,2025-09-03,Facebook Ads,Desktop
L100127,2025-09-23,Instagram Ads,Mobile
L100128,2025-09-17,CRM,Desktop
L100129,2025-09-19,CRM,Mobile
L100130,2025-09-17,Emailing,Mobile
L100131,2025-09-17,Emailing,Mobile
L100132,2025-09-03,Facebook Ads,Mobile
L100133,2025-09-17,Facebook Ads,Mobile
L100134,2025-09-24,Instagram Ads,Desktop
L100135,2025-09-09,Facebook Ads,Desktop
L100136,2025-09-18,Emailing,Mobile
L100137,2025-09-01,Facebook Ads,Mobile
L100138,2025-09-11,Instagram Ads,Mobile
L100139,2025-09-13,Emailing,Mobile
L100140,2025-09-29,LinkedIn Ads,Tablet
L100141,2025-09-07,Emailing,Mobile
L100142,2025-09-09,CRM,Mobile
L100143,2025-09-12,Emailing,Mobile
L100144,2025-09-29,LinkedIn Ads,Mobile
L100145,2025-09-25,CRM,Mobile
